split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
4,1,150000,100,energy,1.5715068457850043,1.0966048256959058,0.6409048775152812,1027.0955813100002
5,1,150000,100,energy,1.592859484660556,1.1834554397766297,0.6823198983841225,1026.710284653
6,1,150000,100,energy,1.5497158726480338,1.0820475371805491,0.6312795638749988,1027.179036252
7,1,150000,100,energy,1.4087955198398217,0.8231569042560808,0.5053020339741693,1027.093639396
8,1,150000,100,energy,1.444602271818043,0.9416290180967752,0.5548012497256237,1026.502825982
9,1,150000,100,energy,1.5768846558609608,1.1189733927972203,0.6393312100601757,1027.987645089
0,2,150000,100,energy,0.7866553565806021,0.5223097067789575,0.2923708875807059,5781.158218410001
1,2,150000,100,energy,0.6008725203611704,0.3388854587086809,0.2113729759371826,5669.704049534999
10,2,150000,100,energy,0.9061942460054444,0.5910161724080264,0.3021597613812473,5437.396831862
11,2,150000,100,energy,0.8039061257344617,0.5320456465906935,0.2851511856839915,5776.131868455999
12,2,150000,100,energy,0.7784190887314896,0.4998086559856265,0.2872253293249287,5776.460406274
13,2,150000,100,energy,0.7308391169138518,0.4741034047127398,0.2695849935892057,5777.122452466
14,2,150000,100,energy,0.7581281575160127,0.5076562241096493,0.2861816696821642,10131.320937883
15,2,150000,100,energy,0.6705394247266256,0.4262317799160868,0.2469268957343756,10224.689878614
16,2,150000,100,energy,0.6780651851904749,0.4265224881881309,0.2434107895516193,10184.20779135
17,2,150000,100,energy,0.7069396071081447,0.4653571834674427,0.2602856504442994,10328.193373055
18,2,150000,100,energy,0.7326726081755863,0.4846450887683585,0.2727376225389151,10143.857558090998
19,2,150000,100,energy,0.7835828375737477,0.5039904154655224,0.2912461981789152,10086.365671956
2,2,150000,100,energy,0.6760895750813213,0.4355849626954929,0.248834997459905,5779.779129961
3,2,150000,100,energy,0.7324228748203636,0.4707394000510237,0.2695760883844178,5732.084283576
4,2,150000,100,energy,0.6758588145104956,0.423058799602759,0.2467666389056534,5756.230831232
5,2,150000,100,energy,0.6903896617109926,0.4442329934262374,0.2543073528932902,5781.420877897
6,2,150000,100,energy,0.612406241969137,0.35731743677093,0.2208525677190934,5774.881589206
7,2,150000,100,energy,0.7556778819753138,0.5008664891734357,0.2831551341769704,5662.684867577
8,2,150000,100,energy,0.7410982632372265,0.4862362378695134,0.2744928675119833,5739.8704732880005
9,2,150000,100,energy,0.7137729213946126,0.4571035626688736,0.2612617684117012,5747.400594261
0,3,150000,100,energy,0.7593357377507993,0.5023667009557145,0.2822890299232412,18020.37438049
1,3,150000,100,energy,0.79195259387567,0.4190462052658921,0.2598923723706423,18267.448624833
10,3,150000,100,energy,0.947456477943494,0.6092063121373065,0.3125509132712341,10515.265762844
11,3,150000,100,energy,0.7652512915376948,0.5218082764957531,0.2789695290086692,10444.459940023
12,3,150000,100,energy,0.9005135179848232,0.552468847669916,0.3172272868793477,10466.329579831
13,3,150000,100,energy,0.7015169552708735,0.4641413400200474,0.261292036257218,10400.402887702
14,3,150000,100,energy,0.7488762694620319,0.5021810176742071,0.2814632070290435,10408.887664165
15,3,150000,100,energy,0.6457068401217955,0.4179011102407307,0.2429885522205985,10581.018509657
16,3,150000,100,energy,0.6761227242540965,0.4415562807921004,0.2489914296053528,10393.265174544
17,3,150000,100,energy,0.6919418098080283,0.4508977384347197,0.2536122970025862,10502.224740103
18,3,150000,100,energy,0.7674522618368713,0.5138134373716079,0.2878440204491534,9515.204983901
19,3,150000,100,energy,0.8067056657335164,0.5277975300393825,0.3024330273720184,9580.019306127
2,3,150000,100,energy,0.6821326222584065,0.4502535902541877,0.2540025443213328,18198.502884628
3,3,150000,100,energy,0.691351480262246,0.4457056845924955,0.2591819323671679,18197.611297496
4,3,150000,100,energy,0.8178069995882378,0.4748137144314406,0.2811812605036781,18194.856435923
5,3,150000,100,energy,0.6267531830214754,0.396537201165689,0.2337035417726111,18434.265970776003
6,3,150000,100,energy,0.8095389266091638,0.4298970694769668,0.269557000525939,17858.517288382
7,3,150000,100,energy,0.6763196654294371,0.4479968940324388,0.2569706406533563,18210.998700009
8,3,150000,100,energy,0.6537751264341817,0.4350170208146074,0.2485065451014906,18233.747855691
9,3,150000,100,energy,0.6522126977299331,0.4116832962854197,0.241511892138628,18202.414498957
0,4,150000,100,energy,0.8329604458661791,0.4861337888167619,0.2863708437228136,15120.70604585
